Timestamp;TestCase;Algorithm;Seed;Unused;Total Duration[ms];Avg priority;Roads Count;Total requests;Throughput;Avg distance;Avg time;Roads to MVC Count;Roads to storage Count;Roads escape Count;Avg to MVC distance;Avg to storage distance;Avg escape distance;Avg to MVC time;Avg to storage time;Avg escape time
Fri Aug 31 03:53:24 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Fri Aug 31 04:04:12 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Fri Aug 31 04:06:06 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Fri Aug 31 04:11:00 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Fri Aug 31 04:24:40 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;46600;0.45350195400296733;76;10;0.2145922746781116;2317.1052631578946;2975.0;10;10;56;8330.0;4740.0;810.7142857142857;11330.0;6740.0;810.7142857142857
Fri Aug 31 06:38:07 EDT 2012;HMPCLayoutTest;RealizerVer1;122;;31000;0.455564745432516;27;6;0.1935483870967742;2640.740740740741;3751.8518518518517;6;6;15;6633.333333333333;4350.0;360.0;9633.333333333334;6350.0;360.0
Fri Aug 31 06:52:27 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;84500;0.5744968947643219;113;20;0.23668639053254437;2259.29203539823;3144.2477876106195;20;20;73;7345.0;4445.0;267.1232876712329;10345.0;6445.0;267.1232876712329
Fri Aug 31 07:22:58 EDT 2012;HMPCLayoutTest;RealizerVer1;122;;46900;0.46096819248100446;26;6;0.1279317697228145;4253.846153846154;5407.692307692308;6;6;14;12966.666666666666;4850.0;264.2857142857143;15966.666666666666;6850.0;264.2857142857143
Fri Aug 31 08:28:09 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;84500;0.5744968947643219;113;20;0.23668639053254437;2259.29203539823;3144.2477876106195;20;20;73;7345.0;4445.0;267.1232876712329;10345.0;6445.0;267.1232876712329
Sat Sep 01 15:39:03 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:39:40 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:41:24 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:52:25 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:52:50 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:56:54 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 16:59:14 EDT 2012;RouteChooseTest_2;RealizerVer1;123;;8100;0.99;3;1;0.12345679012345678;1300.0;2966.6666666666665;1;1;1;2000.0;1100.0;800.0;5000.0;3100.0;800.0
Sat Sep 01 17:01:54 EDT 2012;RouteChooseTest_4a;RealizerVer1;123;;30900;0.99;12;4;0.12944983818770225;2683.3333333333335;4350.0;4;4;4;3725.0;3425.0;900.0;6725.0;5425.0;900.0
Sat Sep 01 22:46:43 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;47700;0.64452625214285;57;10;0.20964360587002095;2189.4736842105262;3066.6666666666665;10;10;37;5830.0;2840.0;1029.7297297297298;8830.0;4840.0;1029.7297297297298
Sun Sep 02 07:11:05 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;45800;0.5803655646777613;53;10;0.2183406113537118;2292.4528301886794;3235.8490566037735;10;10;33;7060.0;4140.0;287.8787878787879;10060.0;6140.0;287.8787878787879
Sun Sep 02 07:53:49 EDT 2012;RouteChooseTest_4a;RealizerVer1;123;;30900;0.99;12;4;0.12944983818770225;2683.3333333333335;4350.0;4;4;4;3725.0;3425.0;900.0;6725.0;5425.0;900.0
Sun Sep 02 07:55:40 EDT 2012;RouteChooseTest_4a;RealizerVer1;123;;30900;0.99;12;4;0.12944983818770225;2683.3333333333335;4350.0;4;4;4;3725.0;3425.0;900.0;6725.0;5425.0;900.0
Sun Sep 02 07:59:44 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;45800;0.5803655646777613;53;10;0.2183406113537118;2292.4528301886794;3235.8490566037735;10;10;33;7060.0;4140.0;287.8787878787879;10060.0;6140.0;287.8787878787879
Sun Sep 02 08:01:19 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;47700;0.64452625214285;57;10;0.20964360587002095;2189.4736842105262;3066.6666666666665;10;10;37;5830.0;2840.0;1029.7297297297298;8830.0;4840.0;1029.7297297297298
Sun Sep 02 09:23:41 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:27:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:27:59 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:35:36 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:38:33 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:39:57 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:40:28 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:41:57 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;16100;0.35569778788783146;11;2;0.12422360248447205;2545.4545454545455;3454.5454545454545;2;2;7;5750.0;2750.0;1571.4285714285713;8750.0;4750.0;1571.4285714285713
Sun Sep 02 09:44:40 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 09:53:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 09:55:16 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:39:35 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:40:06 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:42:44 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:43:50 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:45:43 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:00:38 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:08:45 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:15:48 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 14:12:14 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 14:38:04 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;47700;0.64452625214285;57;10;0.20964360587002095;2189.4736842105262;3066.6666666666665;10;10;37;5830.0;2840.0;1029.7297297297298;8830.0;4840.0;1029.7297297297298
Mon Sep 03 02:16:51 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;9100;0.5741294713139589;2;1;0.10989010989010989;2050.0;4550.0;1;1;0;2800.0;1300.0;0.0;5800.0;3300.0;0.0
Mon Sep 03 02:58:09 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Mon Sep 03 03:00:21 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;41500;0.4300295436557615;15;5;0.12048192771084337;2853.3333333333335;4520.0;5;5;5;4040.0;3980.0;540.0;7040.0;5980.0;540.0
Mon Sep 03 04:31:39 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;39300;0.5667391222867271;46;8;0.2035623409669211;2204.3478260869565;3073.913043478261;8;8;30;5475.0;3137.5;1083.3333333333333;8475.0;5137.5;1083.3333333333333
Mon Sep 03 04:33:41 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;37200;0.5339852376947618;41;8;0.21505376344086022;2265.8536585365855;3241.4634146341464;8;8;25;6537.5;4087.5;316.0;9537.5;6087.5;316.0